Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2017-05-22 10:25:34	12	1	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		7.69207	96.5474	5.63371	0	732.404	0.929284	4601.83	1		0.0088623	14.4544	33.3599	0	0	0	
2017-05-22 10:25:16	5	2	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.98944	70.1369	5.61249	0	561.843	0.435943	3530.16	1		0.0088623	14.4544	33.8796	0	0	0	
2017-05-22 10:25:06	1	3	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.99739	53.2897	6.7409	0	674.267	0.15024	4236.54	1		0.0088623	14.6139	33.8796	0	0	0	
2017-05-22 10:25:09	2	4	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.9939	56.9793	6.32975	0	633.361	0.180991	3979.52	1		0.0088623	14.3126	34.1395	0	0	0	
2017-05-22 10:25:29	10	5	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		7.30824	97.1987	5.80506	0	794.317	0.775876	4990.84	1		0.0088623	14.4544	33.6197	0	0	0	
2017-05-22 10:25:24	8	6	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		10.0005	53.6383	7.47769	0	747.732	0.22479	4698.14	1		0.0088623	14.4544	33.7497	0	0	0	
2017-05-22 10:25:36	13	7	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.99038	63.4097	8.96797	0	897.66	0.261329	5640.17	1		0.0088623	14.4544	33.3599	0	0	0	
2017-05-22 10:25:21	7	8	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.99109	62.0795	6.76538	0	677.142	0.0922709	4254.61	1		0.0088623	14.4721	33.8796	0	0	0	
2017-05-22 10:25:14	4	10	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.98605	73.5159	5.67948	0	568.741	0.703762	3573.51	1		0.0088623	14.4367	33.8796	0	0	0	
2017-05-22 10:25:41	15	11	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.99151	59.6273	8.07538	0	808.224	0.114098	5078.22	1		0.0088623	14.4544	33.3599	0	0	0	
2017-05-22 10:25:26	9	12	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.99043	65.3821	7.16224	0	716.91	0.127301	4504.48	1		0.0088623	14.4899	33.6197	0	0	0	
2017-05-22 10:25:39	14	13	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.98832	65.0002	8.43486	0	844.472	0.239961	5305.97	1		0.0088623	14.4721	33.1	0	0	0	
2017-05-22 10:25:11	3	14	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.99524	51.9902	6.59087	0	659.401	0.181032	4143.14	1		0.0088623	14.3835	33.8796	0	0	0	
2017-05-22 10:25:19	6	15	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.98956	66.4916	5.81498	0	582.106	0.285042	3657.48	1		0.0088623	14.419	33.8796	0	0	0	
