Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-05-27 07:25:34	432	841	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		6.05946	94.6418	4.33154	0	714.839	0.206507	4491.47	1	0.0088623	13.6657	29.7214	0	0	
2017-05-27 07:25:14	425	842	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.97027	93.8188	5.72358	0	574.065	0.201383	3606.96	1	0.0088623	13.5948	30.1112	0	0	
2017-05-27 07:25:28	430	845	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		5.17383	94.1262	3.75989	0	726.713	0.117431	4566.08	1	0.0088623	13.6568	29.7214	0	0	
2017-05-27 07:25:31	431	849	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		5.50473	93.1269	4.57778	0	831.61	0.555071	5225.16	1	0.0088623	13.6479	29.7214	0	0	
2017-05-27 07:25:12	424	850	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.94352	94.7129	5.7233	0	575.581	0.58709	3616.48	1	0.0088623	13.5859	30.2411	0	0	
2017-05-27 07:25:25	429	852	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		0.462801	69.9284	1.87066	0	4042.03	21.9214	25396.8	1	0.0088623	13.6036	29.9813	0	0	
2017-05-27 07:25:09	423	854	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		0.476768	66.8472	0.392393	0	823.027	29.4448	5171.23	1	0.0088623	13.6036	30.1112	0	0	
2017-05-27 07:25:17	426	855	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.97568	93.9577	6.02304	0	603.772	0.370355	3793.61	1	0.0088623	13.6036	29.9813	0	0	
