Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-05-22 21:25:33	507	991	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		5.50053	95.4414	5.35089	0	972.795	0.229287	6112.25	1	0.0088623	13.6479	29.4615	0	0	
2017-05-22 21:25:03	496	993	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.98395	74.1154	9.08847	0	910.308	0.191914	5719.64	1	0.0088623	13.772	30.1112	0	0	
2017-05-22 21:25:06	497	994	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.98698	77.3372	8.3994	0	841.034	0.351586	5284.37	1	0.0088623	13.4973	30.2411	0	0	
2017-05-22 21:25:28	505	995	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		5.0633	95.6306	5.01464	0	990.389	0.114337	6222.8	1	0.0088623	13.6568	29.7214	0	0	
2017-05-22 21:25:23	503	996	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.98736	74.9703	10.4184	0	1043.16	0.522031	6554.36	1	0.0088623	13.6391	29.9813	0	0	
2017-05-22 21:25:36	508	997	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.98428	85.1737	11.3785	0	1139.64	0.121659	7160.59	1	0.0088623	13.6745	29.7214	0	0	
2017-05-22 21:25:20	502	998	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.98667	80.2179	8.70253	0	871.415	0.0679561	5475.26	1	0.0088623	13.6479	29.9813	0	0	
2017-05-22 21:25:31	506	999	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		5.47658	95.8509	6.19063	0	1130.38	0.567297	7102.4	1	0.0088623	13.6745	29.7214	0	0	
2017-05-22 21:25:41	510	1001	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98423	80.2335	10.4454	0	1046.19	0.16827	6573.39	1	0.0088623	13.6745	29.5914	0	0	
2017-05-22 21:25:25	504	1002	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.98423	84.1013	9.54782	0	956.289	0.247493	6008.54	1	0.0088623	13.6923	29.8513	0	0	
2017-05-22 21:25:39	509	1003	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.98305	87.1769	10.8659	0	1088.43	0.223923	6838.82	1	0.0088623	13.6923	29.4615	0	0	
2017-05-22 21:25:09	498	1004	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.98712	69.5256	8.95595	0	896.75	0.307699	5634.45	1	0.0088623	13.6657	30.1112	0	0	
2017-05-22 21:25:17	501	1005	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.97064	95.8484	8.12333	0	814.725	0.354632	5119.07	1	0.0088623	13.6036	30.1112	0	0	
