Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-05-23 05:25:33	342	661	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		5.25873	95.6633	5.2579	0	999.842	0.142203	6282.2	1	0.0088623	13.7011	29.5914	0	0	
2017-05-23 05:25:14	335	662	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.09662	94.8635	7.03634	0	773.511	0.0917512	4860.11	1	0.0088623	13.6391	29.8513	0	0	
2017-05-23 05:25:03	331	663	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.98387	81.5826	9.33538	0	935.046	0.142538	5875.07	1	0.0088623	13.7809	30.1112	0	0	
2017-05-23 05:25:06	332	664	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.89137	85.8248	8.54685	0	864.071	1.59285	5429.12	1	0.0088623	13.5682	30.1112	0	0	
2017-05-23 05:25:28	340	665	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		4.76033	94.924	4.92944	0	1035.53	0.241124	6506.41	1	0.0088623	13.8872	29.7214	0	0	
2017-05-23 05:25:22	338	666	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.9311	84.2328	10.9734	0	1104.96	0.690081	6942.65	1	0.0088623	13.6745	29.7214	0	0	
2017-05-23 05:25:36	343	667	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.92572	90.7735	11.5943	0	1168.11	0.876674	7339.46	1	0.0088623	13.6923	29.5914	0	0	
2017-05-23 05:25:31	341	669	14	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		0	0	0	0	0	0	0	0	0.0088623	13.6479	29.5914	0	0	
2017-05-23 05:25:42	345	671	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98297	86.3259	10.7382	0	1075.65	0.199076	6758.49	1	0.0088623	13.8872	29.4615	0	0	
2017-05-23 05:25:09	333	674	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.98459	77.1024	9.24323	0	925.749	0.205769	5816.65	1	0.0088623	13.6036	29.8513	0	0	
2017-05-23 05:25:17	336	675	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.3442	94.6478	7.84913	0	840	0.33019	5277.87	1	0.0088623	13.6923	29.7214	0	0	
