Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-05-22 18:45:35	387	751	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		5.74551	96.077	5.43352	0	945.698	0.456618	5942	1	0.0088623	13.6745	29.5914	0	0	
2017-05-22 18:45:15	380	752	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.98216	94.4825	7.28587	0	729.89	0.410072	4586.03	1	0.0088623	13.7454	29.9813	0	0	
2017-05-22 18:45:04	376	753	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.985	70.8044	8.83243	0	884.57	0.160113	5557.91	1	0.0088623	13.7809	29.9813	0	0	
2017-05-22 18:45:06	377	754	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.98556	73.8477	8.14332	0	815.509	0.255962	5124	1	0.0088623	13.5327	29.9813	0	0	
2017-05-22 18:45:29	385	755	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		5.29137	96.2081	5.12296	0	968.174	0.208787	6083.22	1	0.0088623	13.6745	29.7214	0	0	
2017-05-22 18:45:23	383	756	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.9893	71.4001	10.0748	0	1008.56	0.775018	6336.97	1	0.0088623	13.6923	29.7214	0	0	
2017-05-22 18:45:39	388	757	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.98465	82.1042	11.1537	0	1117.08	0.189025	7018.84	1	0.0088623	13.6745	29.4615	0	0	
2017-05-22 18:45:21	382	758	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.9864	76.3156	8.4822	0	849.375	0.145092	5336.78	1	0.0088623	13.6923	29.9813	0	0	
2017-05-22 18:45:32	386	759	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		5.6865	96.0203	6.55894	0	1153.42	1.32817	7247.17	1	0.0088623	13.6923	29.5914	0	0	
2017-05-22 18:45:44	390	761	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98631	77.224	10.2105	0	1022.45	0.210026	6424.25	1	0.0088623	13.6923	29.3315	0	0	
2017-05-22 18:45:26	384	762	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.98635	80.5418	9.30392	0	931.663	0.257649	5853.81	1	0.0088623	13.6036	29.7214	0	0	
2017-05-22 18:45:41	389	763	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.98523	83.9148	10.6489	0	1066.47	0.315126	6700.82	1	0.0088623	13.6923	29.4615	0	0	
2017-05-22 18:45:09	378	764	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.98871	66.1946	8.68423	0	869.404	0.295343	5462.63	1	0.0088623	13.6657	30.1112	0	0	
2017-05-22 18:45:18	381	765	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.98231	91.6056	7.83785	0	785.174	0.542225	4933.39	1	0.0088623	13.6479	29.9813	0	0	
