Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-05-24 04:45:35	312	601	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		2.46794	91.8983	4.4769	0	1814.02	0.162108	11397.8	1	0.0088623	13.6745	29.9813	0	0	
2017-05-24 04:45:15	305	602	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		3.60065	93.0228	5.83572	0	1620.74	0.146309	10183.4	1	0.0088623	13.6568	30.3711	0	0	
2017-05-24 04:45:29	310	605	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		2.35885	91.6266	4.34047	0	1840.08	0.197477	11561.5	1	0.0088623	13.6568	29.9813	0	0	
2017-05-24 04:45:24	308	606	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		0.518667	54.9102	1.44887	0	2793.46	20.5411	17551.8	1	0.0088623	13.8429	30.2411	0	0	
2017-05-24 04:45:32	311	609	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		2.18876	90.7995	4.52477	0	2067.28	0.108735	12989.1	1	0.0088623	13.6745	29.9813	0	0	
2017-05-24 04:45:12	304	610	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		3.36846	92.569	5.41164	0	1606.56	0.187963	10094.3	1	0.0088623	13.6036	30.1112	0	0	
2017-05-24 04:45:44	315	611	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		0.970463	83.6957	1.99702	0	2057.8	12.6415	12929.5	1	0.0088623	13.6036	29.7214	0	0	
2017-05-24 04:45:27	309	612	14	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		0	0	0	0	0	0	0	0	0.0088623	13.6657	30.1112	0	0	
2017-05-24 04:45:41	314	613	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		0.697329	74.8578	1.40992	0	2021.89	11.7175	12703.9	1	0.0088623	13.8518	29.8513	0	0	
2017-05-24 04:45:09	303	614	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		0.96006	72.959	1.89481	0	1973.64	5.49964	12400.7	1	0.0088623	13.6036	30.2411	0	0	
2017-05-24 04:45:18	306	615	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		3.63497	93.2367	6.43088	0	1769.17	0.0324995	11116	1	0.0088623	13.6568	30.3711	0	0	
