Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-03 04:25:44	297	571	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0022	426.99	161.815	0	3236.15	1.04655	20333.4	2	0.0088623	13.6036	29.3315	0	0	
2017-07-03 04:25:03	286	573	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		7.12585	470.915	54.6697	0	7672.03	1.43358	48204.8	2	0.0088623	13.6568	29.9813	0	0	
2017-07-03 04:25:08	287	574	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.069	129.315	0.953124	0	19.0362	20.0069	119.608	2	0.0088623	13.2757	29.9813	0	0	
2017-07-03 04:25:37	295	575	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0769	64.4518	17.0171	0	339.819	3.09295	2135.15	2	0.0088623	13.7011	29.4615	0	0	
2017-07-03 04:25:30	293	576	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		42.5574	474.587	407.491	0	9575.09	5.56025	60162.1	2	0.0088623	14.029	29.5914	0	0	
2017-07-03 04:25:15	289	580	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		49.7173	531.366	235.367	0	4734.1	2.84235	29745.2	2	0.0088623	13.4618	29.8513	0	0	
2017-07-03 04:25:33	294	582	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		49.9793	459.676	2.22475	0	44.5134	0.165511	279.686	2	0.0088623	13.5239	29.4615	0	0	
2017-07-03 04:25:51	299	583	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.97713	428.144	1.31345	0	131.647	0.635012	827.159	2	0.0088623	13.6568	29.2016	0	0	
2017-07-03 04:25:23	291	585	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		40.5783	452	384.782	0	9482.44	4.45435	59579.9	2	0.0088623	13.8872	29.7214	0	0	
