Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-03 19:05:41	957	1891	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0207	367.928	134.921	0	2697.3	0.293322	16947.6	2	0.0088623	13.2314	29.4615	0	0	
2017-07-03 19:05:17	950	1892	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		49.9891	473.174	1.42007	0	28.4077	2.75067	178.491	2	0.0088623	13.6036	30.1112	0	0	
2017-07-03 19:05:06	947	1894	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0674	120.786	0.154957	0	3.09496	15.8515	19.4462	2	0.0088623	13.4618	30.2411	0	0	
2017-07-03 19:05:34	955	1895	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0778	64.8372	18.6397	0	372.215	0.731517	2338.69	2	0.0088623	13.4441	29.5914	0	0	
2017-07-03 19:05:27	953	1896	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		50.0062	434.366	371.726	0	7433.61	4.89521	46706.8	2	0.0088623	13.2935	29.8513	0	0	
2017-07-03 19:05:44	958	1897	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		43.3941	533.223	2.27581	0	52.4451	0.794667	329.523	2	0.0088623	13.5239	29.5914	0	0	
2017-07-03 19:05:13	949	1900	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		50.0015	451.336	190.673	0	3813.35	3.65184	23960	2	0.0088623	13.2314	30.2411	0	0	
2017-07-03 19:05:31	954	1902	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		50.0084	405.603	2.3077	0	46.1462	0.259614	289.945	2	0.0088623	13.4264	29.8513	0	0	
2017-07-03 19:05:49	959	1903	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.96122	473.166	0.176118	0	17.6804	4.85031	111.089	2	0.0088623	13.71	29.4615	0	0	
2017-07-03 19:05:10	948	1904	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		49.9958	482.482	176.035	0	3520.99	3.06357	22123	2	0.0088623	13.2669	30.2411	0	0	
2017-07-03 19:05:20	951	1905	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		49.9863	461.552	372.471	0	7451.46	2.74377	46818.9	2	0.0088623	13.4087	29.9813	0	0	
