Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-02 16:45:03	841	1683	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		0.737484	379.375	21.0694	0	28569.2	0.65984	179506	2	0.0088623	13.7454	30.1112	0	0	
2017-07-02 16:45:07	842	1684	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.069	132.307	0.336995	0	6.7306	37.5147	42.2896	2	0.0088623	13.5327	30.1112	0	0	
2017-07-02 16:45:35	850	1685	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0744	58.4677	17.6747	0	352.97	2.37173	2217.77	2	0.0088623	13.6036	29.5914	0	0	
2017-07-02 16:45:27	848	1686	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		15.5263	515.9	186.576	0	12016.8	5.05815	75503.8	2	0.0088623	13.6391	29.7214	0	0	
2017-07-02 16:45:45	853	1687	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		4.19096	431.744	0.764506	0	182.418	3.053	1146.17	2	0.0088623	13.8075	29.4615	0	0	
2017-07-02 16:45:24	847	1688	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		1.16059	290.538	0.0552919	0	47.6413	3.11885	299.339	2	0.0088623	13.3378	29.8513	0	0	
2017-07-02 16:45:14	844	1690	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		31.6088	539.848	229.198	0	7251.09	4.4131	45559.9	2	0.0088623	13.6745	30.1112	0	0	
2017-07-02 16:45:52	855	1691	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		1.42406	346.758	0.613962	0	431.136	0.832342	2708.91	2	0.0088623	13.6391	29.3315	0	0	
2017-07-02 16:45:31	849	1692	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		18.4835	535.328	7.29187E-5	0	0.00394508	1.30125	0.0247877	2	0.0088623	13.6923	29.4615	0	0	
2017-07-02 16:45:48	854	1693	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		2.74113	441.558	0.416569	0	151.97	3.75003	954.854	2	0.0088623	13.6391	29.4615	0	0	
2017-07-02 16:45:10	843	1694	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		16.7157	554.216	141.444	0	8461.71	2.98897	53166.5	2	0.0088623	13.2935	30.1112	0	0	
2017-07-02 16:45:20	846	1695	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		24.1558	433.519	341.964	0	14156.6	3.84516	88948.5	2	0.0088623	13.5682	29.9813	0	0	
