Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-02 03:45:45	267	511	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		7.98595	446.77	137.827	0	17258.7	0.0610262	108439	2	0.0088623	13.6036	29.5914	0	0	
2017-07-02 03:45:19	260	512	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.19314	449.54	2.97554	0	323.67	1.03836	2033.68	2	0.0088623	13.71	29.9813	0	0	
2017-07-02 03:45:04	256	513	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.16515	413.575	40.423	0	34693.3	0.35664	217984	2	0.0088623	13.7632	30.2411	0	0	
2017-07-02 03:45:08	257	514	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0727	121.731	0.305946	0	6.11003	35.7239	38.3905	2	0.0088623	13.5327	30.1112	0	0	
2017-07-02 03:45:38	265	515	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0799	55.6016	18.4953	0	369.316	1.54304	2320.48	2	0.0088623	13.6657	29.5914	0	0	
2017-07-02 03:45:30	263	516	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		8.81378	498.66	210.128	0	23840.8	3.85586	149796	2	0.0088623	13.6568	29.7214	0	0	
2017-07-02 03:45:49	268	517	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		3.46854	446.316	1.74494	0	503.076	3.52772	3160.92	2	0.0088623	13.6568	29.4615	0	0	
2017-07-02 03:45:26	262	518	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		1.40908	301.153	0.443468	0	314.723	1.56607	1977.46	2	0.0088623	13.6923	29.9813	0	0	
2017-07-02 03:45:15	259	520	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.08384	482.106	24.9354	0	2745.03	3.43568	17247.5	2	0.0088623	13.6479	30.1112	0	0	
2017-07-02 03:45:56	270	521	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		1.87347	371.11	1.20429	0	642.813	0.386653	4038.91	2	0.0088623	13.6568	29.3315	0	0	
2017-07-02 03:45:34	264	522	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.40182	478.982	6.84891E-5	0	0.00728466	0.420091	0.0457709	2	0.0088623	13.71	29.7214	0	0	
2017-07-02 03:45:52	269	523	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		1.48706	309.754	0.512246	0	344.468	0.795396	2164.36	2	0.0088623	13.6036	29.4615	0	0	
2017-07-02 03:45:12	258	524	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		8.80069	521.632	175.703	0	19964.7	3.32516	125442	2	0.0088623	13.7277	30.1112	0	0	
2017-07-02 03:45:23	261	525	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.09294	447.372	168.912	0	20871.5	4.50058	131140	2	0.0088623	13.5771	29.9813	0	0	
