Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-02 10:05:40	552	1081	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		6.49998	467.3	136.532	0	21005	0.394579	131978	2	0.0088623	13.6568	29.7214	0	0	
2017-07-02 10:05:17	545	1082	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		7.99529	500.849	2.32077	0	290.267	0	1823.8	1	0.0088623	13.5505	30.2411	0	0	
2017-07-02 10:05:03	541	1083	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.24551	407.452	51.1338	0	41054.4	4.79555	257952	2	0.0088623	13.7454	30.2411	0	0	
2017-07-02 10:05:07	542	1084	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0703	117.107	0.244879	0	4.89072	34.6583	30.7293	2	0.0088623	13.5505	30.2411	0	0	
2017-07-02 10:05:34	550	1085	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0818	55.6786	18.418	0	367.758	0.666622	2310.69	2	0.0088623	13.6568	29.8513	0	0	
2017-07-02 10:05:26	548	1086	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		7.10955	496.454	221.713	0	31185.2	3.15685	195943	2	0.0088623	13.6391	29.9813	0	0	
2017-07-02 10:05:44	553	1087	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		3.11832	492.758	2.04795	0	656.749	1.1074	4126.47	2	0.0088623	13.6745	29.7214	0	0	
2017-07-02 10:05:23	547	1088	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		1.12769	303.003	0.318609	0	282.532	5.87304	1775.2	2	0.0088623	13.6745	29.9813	0	0	
2017-07-02 10:05:13	544	1090	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		7.36939	489.31	30.1979	0	4097.74	24.5809	25746.9	2	0.0088623	13.5682	30.2411	0	0	
2017-07-02 10:05:50	555	1091	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		1.89334	387.367	1.54869	0	817.97	0.19073	5139.46	2	0.0088623	13.6391	29.5914	0	0	
2017-07-02 10:05:30	549	1092	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		8.22468	485.266	6.79954E-5	0	0.00826724	1.78289	0.0519446	2	0.0088623	13.6923	29.9813	0	0	
2017-07-02 10:05:47	554	1093	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		1.52825	329.31	0.697195	0	456.205	0.970409	2866.42	2	0.0088623	13.6568	29.5914	0	0	
2017-07-02 10:05:10	543	1094	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		7.13664	526.199	170.128	0	23838.7	1.56189	149783	2	0.0088623	13.32	30.2411	0	0	
2017-07-02 10:05:20	546	1095	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		6.38036	455.885	158.778	0	24885.5	6.66832	156360	2	0.0088623	13.5593	30.1112	0	0	
