Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-07-01 08:45:44	492	961	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.96277	410.099	113.712	0	11413.7	1.24087	71714.6	2	0.0088623	13.6923	29.9813	0	0	
2017-07-01 08:45:18	485	962	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.96895	407.724	2.90996	0	291.903	3.72773	1834.08	2	0.0088623	13.7366	30.3711	0	0	
2017-07-01 08:45:03	481	963	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		2.99633	563.457	68.0432	0	22708.8	1.66909	142684	2	0.0088623	13.7632	30.501	0	0	
2017-07-01 08:45:07	482	964	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0738	132.257	1.04972	0	20.9634	1.89589	131.717	2	0.0088623	13.5505	30.501	0	0	
2017-07-01 08:45:36	490	965	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0826	59.6177	19.5425	0	390.204	5.46512	2451.73	2	0.0088623	13.7366	30.1112	0	0	
2017-07-01 08:45:29	488	966	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.97139	413.844	228.912	0	22956.9	4.34736	144242	2	0.0088623	13.5948	30.2411	0	0	
2017-07-01 08:45:48	493	967	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		8.51981	501.043	5.76524	0	676.686	0.736626	4251.74	2	0.0088623	13.7277	29.7214	0	0	
2017-07-01 08:45:25	487	968	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		8.93167	386.334	1.53835	0	172.236	6.90579	1082.19	2	0.0088623	13.7277	30.2411	0	0	
2017-07-01 08:45:14	484	970	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.96649	437.012	116.468	0	11685.9	10.1417	73424.9	2	0.0088623	13.6923	30.501	0	0	
2017-07-01 08:45:56	495	971	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		4.35789	452.36	4.37633	0	1004.23	0.381543	6309.77	2	0.0088623	13.6479	29.5914	0	0	
2017-07-01 08:45:33	489	972	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.98203	383.141	6.58424E-5	0	0.00659609	0.623526	0.0414444	2	0.0088623	13.6391	29.9813	0	0	
2017-07-01 08:45:52	494	973	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		4.45782	521.85	2.87898	0	645.826	0.811006	4057.85	2	0.0088623	13.7277	29.7214	0	0	
2017-07-01 08:45:11	483	974	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.97496	410.797	128.884	0	12920.7	5.8702	81183.4	2	0.0088623	13.32	30.501	0	0	
2017-07-01 08:45:21	486	975	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.62647	439.848	204.513	0	21244.8	5.05454	133485	2	0.0088623	13.6036	30.2411	0	0	
