Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-30 08:25:44	477	931	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0376	323.666	1.89611	0	37.8937	1.14238	238.093	2	0.0088623	13.4618	29.4615	0	0	
2017-06-30 08:25:19	470	932	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		49.9918	470.79	5.84735E-5	0	0.00116966	0.691082	0.0073492	2	0.0088623	13.7809	29.9813	0	0	
2017-06-30 08:25:04	466	933	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.00161	555.074	1.18537	0	131.684	8.2058	827.395	2	0.0088623	13.8163	30.1112	0	0	
2017-06-30 08:25:08	467	934	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0616	151.518	1.29862	0	25.9405	3.23682	162.989	2	0.0088623	13.6391	30.1112	0	0	
2017-06-30 08:25:37	475	935	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		36.4237	529.638	44.1734	0	1212.76	3.39804	7620.03	2	0.0088623	13.4973	29.7214	0	0	
2017-06-30 08:25:30	473	936	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		50.0491	259.473	171.13	0	3419.25	2.66422	21483.8	2	0.0088623	13.4973	29.7214	0	0	
2017-06-30 08:25:48	478	937	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		50.0103	446.234	34.2692	0	685.243	0.594204	4305.51	2	0.0088623	13.7454	29.3315	0	0	
2017-06-30 08:25:26	472	938	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		50.0476	266.919	1.60519	0	32.0733	2.97625	201.523	2	0.0088623	13.8075	29.8513	0	0	
2017-06-30 08:25:41	476	939	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		34.299	540.409	56.8932	0	1658.75	2.53554	10422.2	2	0.0088623	13.8518	29.5914	0	0	
2017-06-30 08:25:16	469	940	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		49.9869	520.588	160.725	0	3215.34	3.77254	20202.6	2	0.0088623	13.2491	29.8513	0	0	
2017-06-30 08:25:55	480	941	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		24.1858	600.004	2.92423	0	120.907	1.61721	759.681	2	0.0088623	13.5593	29.2016	0	0	
2017-06-30 08:25:34	474	942	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		50.0517	265.18	6.1006E-5	0	0.00121886	0.56694	0.00765831	2	0.0088623	13.8872	29.7214	0	0	
2017-06-30 08:25:52	479	943	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		22.2057	510.741	21.7718	0	980.46	0.0729515	6160.41	2	0.0088623	13.8695	29.3315	0	0	
2017-06-30 08:25:12	468	944	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		50.024	387.257	134.288	0	2684.47	3.70541	16867	2	0.0088623	13.4264	30.1112	0	0	
2017-06-30 08:25:23	471	945	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		50.0301	360.377	263.507	0	5266.97	3.08219	33093.4	2	0.0088623	13.3555	29.9813	0	0	
