Time	MeasID	DPID	Channel	Ax	Ay	Az	Bx	By	Bz	Mx	My	Mz	Nx	Ny	Nz	Fx	Fy	Fz	Note	ImA	UoutV	UV	SPV	RO	Var	RhoaOm	Cycles	PintV	PextV	TintC	Latitude	Longitude
2017-07-01 13:25:33	699	1392	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.96879	422.059	6.69418e-05	0	0.00671513	0.512598	0.0421924	2	0.0088623	13.6036	29.7214	0	0
2017-07-01 13:25:51	704	1393	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.88242	496.603	2.10773	0	542.891	0.468222	3411.08	2	0.0088623	13.6036	29.3315	0	0
2017-07-01 13:25:11	693	1394	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.96265	456.549	140.745	0	14127.2	10.6022	88764	2	0.0088623	13.7454	29.9813	0	0
2017-07-01 13:25:22	696	1395	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.3701	452.244	176.522	0	21089.6	4.75222	132510	2	0.0088623	13.7454	29.7214	0	0
2017-07-01 13:45:42	717	1411	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.96682	417.037	128.094	0	12852.1	0.865253	80752	2	0.0088623	13.6745	29.5914	0	0
2017-07-01 13:45:18	710	1412	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.95644	445.38	2.72434	0	273.626	2.37682	1719.24	2	0.0088623	13.6568	30.1112	0	0
2017-07-01 13:45:04	706	1413	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.75233	406.567	52.9247	0	30202.5	1.86397	189768	2	0.0088623	13.772	30.2411	0	0
2017-07-01 13:45:07	707	1414	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0701	126.805	0.469515	0	9.37716	24.2351	58.9184	2	0.0088623	13.5593	30.2411	0	0
2017-07-01 13:45:35	715	1415	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0828	60.8028	19.5956	0	391.264	1.86611	2458.38	2	0.0088623	13.6745	29.7214	0	0
2017-07-01 13:45:28	713	1416	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.95901	466.197	240.49	0	24148	5.74962	151726	2	0.0088623	13.6036	29.7214	0	0
2017-07-01 13:45:46	718	1417	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		5.56544	422.879	3.02856	0	544.173	1.04097	3419.14	2	0.0088623	13.7277	29.5914	0	0
2017-07-01 13:45:24	712	1418	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		8.64461	457.96	1.07435	0	124.28	0.23162	780.874	2	0.0088623	13.71	29.9813	0	0
2017-07-01 13:45:14	709	1420	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.75792	474.6	97.1975	0	9960.88	17.0913	62586.1	2	0.0088623	13.7011	30.1112	0	0
2017-07-01 13:45:53	720	1421	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		3.60498	481.768	3.59739	0	997.895	0.177371	6269.96	2	0.0088623	13.6745	29.4615	0	0
2017-07-01 13:45:32	714	1422	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.96765	427.515	6.76594e-05	0	0.0067879	1.49059	0.0426496	2	0.0088623	13.71	29.7214	0	0
