Time	MeasID	DPID	Channel	Ax	Ay	Az	Bx	By	Bz	Mx	My	Mz	Nx	Ny	Nz	Fx	Fy	Fz	Note	ImA	UoutV	UV	SPV	RO	Var	RhoaOm	Cycles	PintV	PextV	TintC	Latitude	Longitude
2017-05-22 15:45:34	252	481	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		6.17391	96.2443	5.50406	0	891.502	0.556154	5601.48	1	0.0088623	13.7011	29.7214	0	0
2017-05-22 15:45:14	245	482	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.98423	88.4035	6.87968	0	689.054	0.518938	4329.46	1	0.0088623	13.6745	30.2411	0	0
2017-05-22 15:45:03	241	483	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.99131	66.0011	8.32456	0	833.179	0.127091	5235.02	1	0.0088623	13.7986	30.1112	0	0
2017-05-22 15:45:06	242	484	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.98941	68.6548	7.69809	0	770.625	0.259847	4841.98	1	0.0088623	13.5327	30.3711	0	0
2017-05-22 15:45:28	250	485	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		5.72147	96.4293	5.19008	0	907.124	0.242647	5699.63	1	0.0088623	13.7011	30.1112	0	0
2017-05-22 15:45:22	248	486	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.98907	65.6584	9.4492	0	945.953	0.449117	5943.6	1	0.0088623	13.71	30.2411	0	0
2017-05-22 15:45:37	253	487	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.98673	77.1249	10.653	0	1066.71	0.163354	6702.36	1	0.0088623	13.6657	29.8513	0	0
2017-05-22 15:45:20	247	488	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.98765	71.1986	8.08992	0	809.993	0.100026	5089.33	1	0.0088623	13.6923	30.2411	0	0
2017-05-22 15:45:31	251	489	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		6.08662	95.839	6.78067	0	1114.03	0.261235	6999.65	1	0.0088623	13.71	29.9813	0	0
2017-05-22 15:45:11	244	490	14	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		0	0	0	0	0	0	0	0	0.0088623	13.6391	30.3711	0	0
2017-05-22 15:45:42	255	491	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98706	72.8181	9.73206	0	974.467	0.155532	6122.76	1	0.0088623	13.71	29.7214	0	0
2017-05-22 15:45:25	249	492	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.98711	75.9443	8.77017	0	878.149	0.122454	5517.57	1	0.0088623	13.6568	30.1112	0	0
2017-05-22 15:45:40	254	493	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.98378	78.744	10.1168	0	1013.32	0.204734	6366.9	1	0.0088623	13.7011	29.8513	0	0
2017-05-22 15:45:08	243	494	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.98959	62.4615	8.17055	0	817.906	0.179612	5139.06	1	0.0088623	13.6923	30.3711	0	0
2017-05-22 15:45:17	246	495	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.98473	85.236	7.40497	0	741.629	0.0235276	4659.79	1	0.0088623	13.71	30.2411	0	0
2017-05-22 15:25:34	237	451	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		6.24314	96.227	5.511	0	882.728	0.478754	5546.35	1	0.0088623	13.6745	29.7214	0	0
2017-05-22 15:25:14	230	452	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.98392	87.4149	6.81412	0	682.509	0.544735	4288.33	1	0.0088623	13.6568	30.1112	0	0
2017-05-22 15:25:03	226	453	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.99049	65.324	8.24748	0	825.533	0.130421	5186.98	1	0.0088623	13.772	30.2411	0	0
2017-05-22 15:25:06	227	454	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.98929	67.9971	7.63177	0	763.996	0.261719	4800.33	1	0.0088623	13.5327	30.2411	0	0
2017-05-22 15:25:28	235	455	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		5.79291	96.5028	5.19358	0	896.541	0.217586	5633.13	1	0.0088623	13.6479	29.7214	0	0
2017-05-22 15:25:23	233	456	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.99073	64.9273	9.35584	0	936.452	0.438313	5883.9	1	0.0088623	13.6745	29.9813	0	0
2017-05-22 15:25:36	238	457	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.98459	76.4424	10.5629	0	1057.92	0.167137	6647.12	1	0.0088623	13.6657	29.7214	0	0
2017-05-22 15:25:20	232	458	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.98963	70.5253	8.03521	0	804.355	0.0878207	5053.91	1	0.0088623	13.6391	29.9813	0	0
2017-05-22 15:25:31	236	459	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		6.17191	96.1548	6.89348	0	1116.91	0.434103	7017.76	1	0.0088623	13.6745	29.7214	0	0
2017-05-22 15:25:12	229	460	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.97965	91.547	7.00786	0	702.215	0.163061	4412.15	1	0.0088623	13.6036	30.1112	0	0
2017-05-22 15:25:42	240	461	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98938	72.202	9.62435	0	963.458	0.197445	6053.59	1	0.0088623	13.6036	29.5914	0	0
2017-05-22 15:25:25	234	462	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.98556	75.4129	8.6802	0	869.275	0.138534	5461.82	1	0.0088623	13.6923	29.8513	0	0
2017-05-22 15:25:39	239	463	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.98517	78.0763	10.014	0	1002.89	0.211943	6301.32	1	0.0088623	13.6923	29.5914	0	0
2017-05-22 15:25:09	228	464	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.98923	61.3092	8.07977	0	808.848	0.174428	5082.14	1	0.0088623	13.6745	29.9813	0	0
2017-05-22 15:25:17	231	465	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.98234	84.4575	7.31976	0	733.271	0.068697	4607.28	1	0.0088623	13.6923	29.9813	0	0
2017-05-22 15:05:33	222	421	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		6.2934	96.1487	5.50565	0	874.83	0.517706	5496.72	1	0.0088623	13.6923	29.5914	0	0
2017-05-22 15:05:14	215	422	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.98339	86.4663	6.7466	0	675.782	0.573007	4246.06	1	0.0088623	13.6923	29.9813	0	0
2017-05-22 15:05:03	211	423	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.99056	64.7142	8.15704	0	816.475	0.116786	5130.06	1	0.0088623	13.7897	29.9813	0	0
2017-05-22 15:05:06	212	424	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.98515	67.4512	7.55913	0	757.037	0.260947	4756.61	1	0.0088623	13.5859	30.1112	0	0
2017-05-22 15:05:28	220	425	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		5.84266	96.3721	5.22959	0	895.07	0.261583	5623.89	1	0.0088623	13.71	29.7214	0	0
2017-05-22 15:05:22	218	426	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.99085	64.2383	9.27897	0	928.747	0.396091	5835.49	1	0.0088623	13.6568	29.7214	0	0
2017-05-22 15:05:36	223	427	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.9879	75.7837	10.4785	0	1049.12	0.153955	6591.82	1	0.0088623	13.71	29.5914	0	0
2017-05-22 15:05:20	217	428	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.9911	69.9362	7.95065	0	795.773	0.077744	4999.99	1	0.0088623	13.6923	29.7214	0	0
2017-05-22 15:05:31	221	429	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		6.22788	96.3011	6.51454	0	1046.03	2.31983	6572.39	1	0.0088623	13.6657	29.5914	0	0
2017-05-22 15:05:11	214	430	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.98165	90.6203	6.92456	0	693.729	0.102106	4358.83	1	0.0088623	13.6745	29.9813	0	0
2017-05-22 15:05:42	225	431	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98804	71.6125	9.54739	0	955.882	0.179205	6005.98	1	0.0088623	13.6745	29.4615	0	0
2017-05-22 15:05:25	219	432	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.98954	75.394	8.60556	0	861.457	0.113813	5412.7	1	0.0088623	13.7011	29.7214	0	0
2017-05-22 15:05:39	224	433	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.98478	77.4107	9.92764	0	994.278	0.246734	6247.23	1	0.0088623	13.6657	29.4615	0	0
2017-05-22 15:05:09	213	434	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.99181	60.933	8.00851	0	801.507	0.182592	5036.02	1	0.0088623	13.6036	30.1112	0	0
2017-05-22 15:05:17	216	435	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.98456	83.6061	7.22124	0	723.24	0.239399	4544.25	1	0.0088623	13.6568	29.9813	0	0
2017-05-22 14:45:34	207	391	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		6.34832	96.0041	5.50152	0	866.611	0.458334	5445.07	1	0.0088623	13.71	29.7214	0	0
2017-05-22 14:45:14	200	392	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.9833	85.5172	6.6739	0	668.507	0.583044	4200.35	1	0.0088623	13.6568	30.2411	0	0
2017-05-22 14:45:03	196	393	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		9.98981	64.0047	8.07095	0	807.918	0.138196	5076.3	1	0.0088623	13.7809	30.2411	0	0
2017-05-22 14:45:06	197	394	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		9.98865	66.7473	7.48592	0	749.443	0.286979	4708.89	1	0.0088623	13.5505	30.3711	0	0
2017-05-22 14:45:29	205	395	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		5.93105	96.6099	5.30456	0	894.371	0.419749	5619.5	1	0.0088623	13.71	29.7214	0	0
2017-05-22 14:45:23	203	396	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.99252	63.4189	9.20308	0	920.998	0.387995	5786.8	1	0.0088623	13.6568	29.9813	0	0
2017-05-22 14:45:37	208	397	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		9.98846	75.0012	10.4085	0	1042.05	0.129349	6547.41	1	0.0088623	13.71	29.7214	0	0
2017-05-22 14:45:20	202	398	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		9.99089	69.151	7.87723	0	788.441	0.0707685	4953.92	1	0.0088623	13.71	30.1112	0	0
2017-05-22 14:45:31	206	399	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		6.34739	96.8666	6.55615	0	1032.89	0.714608	6489.84	1	0.0088623	13.6657	29.9813	0	0
2017-05-22 14:45:12	199	400	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.98369	89.4976	6.84953	0	686.072	0.133274	4310.72	1	0.0088623	13.6745	30.2411	0	0
2017-05-22 14:45:43	210	401	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		9.98897	70.8698	9.48956	0	950.004	0.185913	5969.05	1	0.0088623	13.6568	29.5914	0	0
2017-05-22 14:45:26	204	402	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.98877	74.843	8.5205	0	853.007	0.0934031	5359.6	1	0.0088623	13.6923	29.9813	0	0
2017-05-22 14:45:40	209	403	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		9.98799	76.6271	9.88022	0	989.21	0.182653	6215.39	1	0.0088623	13.6568	29.7214	0	0
2017-05-22 14:45:09	198	404	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.99077	60.3708	7.92065	0	792.796	0.175321	4981.28	1	0.0088623	13.6923	30.3711	0	0
2017-05-22 14:45:17	201	405	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.98411	82.4813	7.12866	0	714	0.264163	4486.2	1	0.0088623	13.7011	30.2411	0	0
