Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-08 04:25:42	297	571	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0338	363.75	16.5658	0	331.093	0.961309	2080.32	2	0.0088623	13.3732	29.4615	0	0	
2017-06-08 04:25:17	290	572	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		50.0076	427.812	19.1188	0	382.318	1.29409	2402.18	2	0.0088623	13.1605	29.8513	0	0	
2017-06-08 04:25:28	293	576	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		49.9936	467.756	411.394	0	8228.94	3.2378	51703.9	2	0.0088623	13.1339	29.7214	0	0	
2017-06-08 04:25:46	298	577	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		42.5807	562.809	19.0913	0	448.356	0.196446	2817.11	2	0.0088623	13.2669	29.5914	0	0	
2017-06-08 04:25:24	292	578	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		49.9931	475.795	0.358632	0	7.17363	11.4562	45.0732	2	0.0088623	12.9833	29.8513	0	0	
2017-06-08 04:25:13	289	580	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		50.0042	462.115	116.339	0	2326.59	0.702096	14618.4	2	0.0088623	12.9567	29.8513	0	0	
2017-06-08 04:25:51	300	581	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		5.29982	389.291	3.18873	0	601.668	1.06943	3780.39	2	0.0088623	13.4618	29.3315	0	0	
2017-06-08 04:25:31	294	582	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		50.0002	447.934	6.30927E-5	0	0.00126185	2.80753	0.00792844	2	0.0088623	12.9833	29.7214	0	0	
2017-06-08 04:25:21	291	585	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		50.0414	313.581	214.813	0	4292.7	2.12504	26971.8	2	0.0088623	12.9656	29.8513	0	0	
