Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-08 01:25:43	162	301	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0273	361.443	8.6333	0	172.572	2.202	1084.3	2	0.0088623	13.2403	29.5914	0	0	
2017-06-08 01:25:18	155	302	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		50.0034	426.62	5.09629	0	101.919	1.7476	640.375	2	0.0088623	12.9478	30.1112	0	0	
2017-06-08 01:25:07	152	304	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		33.738	538.003	6.63552	0	196.678	2.26747	1235.77	2	0.0088623	13.2669	30.1112	0	0	
2017-06-08 01:25:28	158	306	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		49.9867	464.649	416.495	0	8332.12	3.59322	52352.3	2	0.0088623	13.1428	29.8513	0	0	
2017-06-08 01:25:46	163	307	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		41.7137	563.52	19.3838	0	464.688	1.04757	2919.72	2	0.0088623	12.9656	29.7214	0	0	
2017-06-08 01:25:25	157	308	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		49.9857	484.911	0.562974	0	11.2627	5.13087	70.7656	2	0.0088623	13.2314	30.1112	0	0	
2017-06-08 01:25:15	154	310	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		49.9954	457.345	118.499	0	2370.19	0	14892.3	2	0.0088623	13.2137	30.2411	0	0	
2017-06-08 01:25:32	159	312	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		49.9975	443.3	6.53441E-5	0	0.00130695	3.89307	0.00821179	2	0.0088623	13.001	29.8513	0	0	
2017-06-08 01:25:21	156	315	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		50.0356	307.764	219.374	0	4384.37	2.55504	27547.8	2	0.0088623	12.9656	30.1112	0	0	
