Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-10 04:05:40	282	541	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		41.2334	509.015	23.1032	0	560.304	1.18808	3520.49	2	0.0088623	13.0985	29.9813	0	0	
2017-06-10 04:05:05	272	544	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		28.1918	566.476	5.17214	0	183.462	1.06433	1152.73	2	0.0088623	13.2137	30.2411	0	0	
2017-06-10 04:05:27	278	546	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		26.818	537.581	515.502	0	19222.3	1.57094	120777	2	0.0088623	13.0808	30.2411	0	0	
2017-06-10 04:05:44	283	547	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		23.3157	559.183	4.62815	0	198.499	1.76408	1247.2	2	0.0088623	13.0808	29.8513	0	0	
2017-06-10 04:05:12	274	550	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		49.9837	512.343	172.952	0	3460.16	1.46493	21740.8	2	0.0088623	12.9301	30.1112	0	0	
2017-06-10 04:05:30	279	552	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		18.2113	479.545	7.15496E-5	0	0.00392887	0.695729	0.0246858	2	0.0088623	13.0276	29.9813	0	0	
2017-06-10 04:05:08	273	554	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		32.8692	561.644	335.226	0	10198.8	1.81991	64080.8	2	0.0088623	13.063	30.2411	0	0	
2017-06-10 04:05:19	276	555	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		49.9795	487.5	409.232	0	8187.99	2.21377	51446.7	2	0.0088623	12.8769	30.2411	0	0	
