Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-07 09:45:41	27	31	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		50.0573	260.871	6.65778	0	133.003	0.273879	835.684	2	0.0088623	13.9138	32.1903	0	0	
2017-06-07 09:45:17	20	32	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		50.0449	325.586	8.4051	0	167.951	2.18382	1055.27	2	0.0088623	13.6745	32.4502	0	0	
2017-06-07 09:45:06	17	34	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		30.0484	489.977	7.58657	0	252.478	15.5239	1586.37	2	0.0088623	14.2063	32.5802	0	0	
2017-06-07 09:45:34	25	35	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		49.9939	494.06	5.97099	0	119.434	4.7137	750.427	2	0.0088623	14.1177	32.3203	0	0	
2017-06-07 09:45:27	23	36	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		50.0482	326.633	301.273	0	6019.66	0.813749	37822.6	2	0.0088623	13.8163	32.3203	0	0	
2017-06-07 09:45:44	28	37	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		49.9916	506.741	18.3438	0	366.937	0.870051	2305.53	2	0.0088623	13.7277	32.0604	0	0	
2017-06-07 09:45:37	26	39	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		50.0086	465.381	105.66	0	2112.84	2.39479	13275.4	2	0.0088623	14.0999	32.3203	0	0	
2017-06-07 09:45:14	19	40	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		50.0453	329.334	85.1138	0	1700.74	0.431738	10686	2	0.0088623	13.9227	32.5802	0	0	
2017-06-07 09:45:31	24	42	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		50.0479	337.031	3.76821	0	75.2922	8.07203	473.075	2	0.0088623	14.162	32.3203	0	0	
2017-06-07 09:45:10	18	44	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		50.0199	405.253	140.209	0	2803.06	2.70589	17612.1	2	0.0088623	14.029	32.4502	0	0	
2017-06-07 09:45:21	21	45	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		50.0585	259.705	187.241	0	3740.43	2.2856	23501.8	2	0.0088623	14.2594	32.3203	0	0	
