Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	Pint(V)	Pext(V)	T int(°C)	Latitude	Longitude	
2017-06-09 12:05:39	627	1261	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		6.82421	510.33	6.77068	0	992.156	1.95152	6233.9	2	0.0088623	12.9124	29.5914	0	0	
2017-06-09 12:05:16	620	1262	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		8.6111	517.46	18.6063	0	2160.73	0.848629	13576.3	2	0.0088623	12.939	29.8513	0	0	
2017-06-09 12:05:04	616	1263	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		0.641523	198.432	1.16919	0	1822.53	0.691142	11451.3	2	0.0088623	13.1428	29.9813	0	0	
2017-06-09 12:05:26	623	1266	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		3.0058	484.7	358.288	0	119199	1.43006	748947	2	0.0088623	12.9301	29.8513	0	0	
2017-06-09 12:05:43	628	1267	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		0.764478	317.704	1.01587	0	1328.84	0.286496	8349.34	2	0.0088623	12.8947	29.4615	0	0	
2017-06-09 12:05:23	622	1268	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		3.70424	547.583	0.834271	0	225.221	6.35515	1415.1	2	0.0088623	12.9478	29.8513	0	0	
2017-06-09 12:05:36	626	1269	1	19	0	0	22	0	0	20	0	0	21	0	0	20.5	0	0.519		4.28092	531.358	115.761	0	27041.1	0.898297	169905	2	0.0088623	12.8947	29.5914	0	0	
2017-06-09 12:05:13	619	1270	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.94146	531.054	128.927	0	12968.6	1.26018	81483.9	2	0.0088623	12.9833	29.9813	0	0	
2017-06-09 12:05:30	624	1272	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		3.44817	501.086	6.71977E-5	0	0.019488	1.0432	0.122447	2	0.0088623	12.9124	29.7214	0	0	
2017-06-09 12:05:10	618	1274	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		2.82904	442.333	144.236	0	50984.1	0.41448	320343	2	0.0088623	13.063	30.1112	0	0	
2017-06-09 12:05:20	621	1275	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		9.16545	511.097	247.763	0	27032.3	3.01675	169849	2	0.0088623	12.9301	29.9813	0	0	
